date,pwv,pwv_err
1262304900.0,4.7,1.47
1262306700.0,4.7,1.47
1262308500.0,3.6,1.36
1262310300.0,3.6,1.36
1262312100.0,3.5,1.35
1262313900.0,3.6,1.36
1262315700.0,3.7,1.37
1262317500.0,3.5,1.35
1262319300.0,3.4,1.34
1262321100.0,3.8,1.38
1262322900.0,3.6,1.36
1262324700.0,3.1,1.31
1262326500.0,3.2,1.32
1262328300.0,3.2,1.32
1262330100.0,3.0,1.3
1262331900.0,3.6,1.36
1262333700.0,3.8,1.38
1262335500.0,2.7,1.27
1262337300.0,2.7,1.27
1262339100.0,3.0,1.3
1262340900.0,3.1,1.31
1262342700.0,3.5,1.35
1262344500.0,4.1,1.41
1262346300.0,4.0,1.4
1262348100.0,3.5,1.35
1262349900.0,3.3,1.33
1262351700.0,3.8,1.38
1262353500.0,3.9,1.39
1262355300.0,4.0,1.4
1262357100.0,4.4,1.44
1262358900.0,4.1,1.41
1262360700.0,3.7,1.37
1262362500.0,4.1,1.41
1262364300.0,4.4,1.44
1262366100.0,4.1,1.41
1262367900.0,4.2,1.42
1262369700.0,3.7,1.37
1262371500.0,3.5,1.35
1262373300.0,4.3,1.43
1262375100.0,4.5,1.45
1262376900.0,4.5,1.45
1262378700.0,4.0,1.4
1262380500.0,4.1,1.41
1262382300.0,4.5,1.45
1262384100.0,4.8,1.48
1262385900.0,4.7,1.47
1262387700.0,4.8,1.48
1262389500.0,4.9,1.49
1262391300.0,5.4,1.54
1262393100.0,5.4,1.54
1262394900.0,4.8,1.48
1262396700.0,5.1,1.51
1262398500.0,5.2,1.52
1262400300.0,5.3,1.53
1262402100.0,5.5,1.55
1262403900.0,5.7,1.57
1262405700.0,6.0,1.6
1262407500.0,6.6,1.66
1262409300.0,6.8,1.68
1262411100.0,6.5,1.65
1262412900.0,6.5,1.65
1262414700.0,6.6,1.66
1262416500.0,6.6,1.66
1262418300.0,6.8,1.68
1262420100.0,6.7,1.67
1262421900.0,6.1,1.61
1262423700.0,6.3,1.63
1262425500.0,6.2,1.62
1262427300.0,6.3,1.63
1262429100.0,6.7,1.67
1262430900.0,7.2,1.72
1262432700.0,7.2,1.72
1262434500.0,6.7,1.67
1262436300.0,6.5,1.65
1262438100.0,6.9,1.69
1262439900.0,6.8,1.68
1262441700.0,6.5,1.65
1262443500.0,7.2,1.72
1262445300.0,7.0,1.7
1262447100.0,7.0,1.7
1262448900.0,7.9,1.79
1262450700.0,7.7,1.77
1262452500.0,7.4,1.74
1262454300.0,7.2,1.72
1262456100.0,6.4,1.64
1262457900.0,6.5,1.65
1262459700.0,6.8,1.68
1262461500.0,6.8,1.68
1262463300.0,6.7,1.67
1262465100.0,6.2,1.62
1262466900.0,5.7,1.57
1262468700.0,5.3,1.53
1262470500.0,5.5,1.55
1262472300.0,5.4,1.54
1262474100.0,5.4,1.54
1262475900.0,5.3,1.53
1262477700.0,5.8,1.58
1262479500.0,5.7,1.57
1262481300.0,4.8,1.48
1262483100.0,4.8,1.48
1262484900.0,5.0,1.5
1262486700.0,4.9,1.49
