wavelength,mm_cm_2
3000.0,5.719913264564206e-09
3001.0,5.725763008721962e-09
3002.0,5.7315124715513006e-09
3003.0,5.7376296325848405e-09
3004.0,5.743412522523651e-09
3005.0,5.749228839571936e-09
3006.0,5.7561148241233525e-09
3007.0,5.761931141171634e-09
3008.0,5.768014875095703e-09
3009.0,5.773831192143988e-09
3010.0,5.7806503224764585e-09
3011.0,5.787870578122604e-09
3012.0,5.7936868951708864e-09
3013.0,5.799870910423375e-09
3014.0,5.805720654581132e-09
3015.0,5.811570398738888e-09
3016.0,5.817420142896645e-09
3017.0,5.8236710123680714e-09
3018.0,5.829520756525833e-09
3019.0,5.836573876624616e-09
3020.0,5.842925027424465e-09
3021.0,5.849276178224316e-09
3022.0,5.856563288089405e-09
3023.0,5.862814157560839e-09
3024.0,5.868964745703852e-09
3025.0,5.874847916971082e-09
3026.0,5.8818676099603904e-09
3027.0,5.888920730059169e-09
3028.0,5.894937609764293e-09
3029.0,5.900854208140996e-09
3030.0,5.90690451495559e-09
3031.0,5.915461854980652e-09
3032.0,5.921378453357352e-09
3033.0,5.9274956143908945e-09
3034.0,5.934047327847582e-09
3035.0,5.940164488881122e-09
3036.0,5.9471841818704305e-09
3037.0,5.953167634466076e-09
3038.0,5.9593182226090914e-09
3039.0,5.965268248095268e-09
3040.0,5.97141883623828e-09
3041.0,5.977469143052875e-09
3042.0,5.985324513778988e-09
3043.0,5.99160881035991e-09
3044.0,5.998361086473436e-09
3045.0,6.0079546668921576e-09
3046.0,6.014004973706751e-09
3047.0,6.020021853411871e-09
3048.0,6.0260387331169935e-09
3049.0,6.033125280325249e-09
3050.0,6.039476431125098e-09
3051.0,6.045560165049166e-09
3052.0,6.051610471863758e-09
3053.0,6.0577276328973e-09
3054.0,6.064011929478205e-09
3055.0,6.070129090511744e-09
3056.0,6.078653003427334e-09
3057.0,6.085605842197694e-09
3058.0,6.092090701435438e-09
3059.0,6.098174435359505e-09
3060.0,6.104926711473031e-09
3061.0,6.112347529776013e-09
3062.0,6.118598399247443e-09
3063.0,6.125517810908335e-09
3064.0,6.134509703356544e-09
3065.0,6.14172995900269e-09
3066.0,6.148582516444634e-09
3067.0,6.154866813025541e-09
3068.0,6.163791851254801e-09
3069.0,6.170009293616761e-09
3070.0,6.176159881759774e-09
3071.0,6.182310469902786e-09
3072.0,6.188461058045802e-09
3073.0,6.194979344393014e-09
3074.0,6.2014307765212836e-09
3075.0,6.208049344196917e-09
3076.0,6.214300213668349e-09
3077.0,6.220517656030311e-09
3078.0,6.228005328552236e-09
3079.0,6.234222770914196e-09
3080.0,6.240607348823518e-09
3081.0,6.24996693947593e-09
3082.0,6.257287476450498e-09
3083.0,6.265711108037664e-09
3084.0,6.271961977509096e-09
3085.0,6.278179419871054e-09
3086.0,6.287505583413993e-09
3087.0,6.2937898799949e-09
3088.0,6.304252565259914e-09
3089.0,6.310570288950292e-09
3090.0,6.316921439750141e-09
3091.0,6.323239163440519e-09
3092.0,6.330559700415086e-09
3093.0,6.337144840981245e-09
3094.0,6.345735608115779e-09
3095.0,6.352053331806157e-09
3096.0,6.358872462138627e-09
3097.0,6.365190185829008e-09
3098.0,6.372143024599367e-09
3099.0,6.380299239310754e-09
3100.0,6.386683817220077e-09
3101.0,6.393168676457819e-09
3102.0,6.399753817023983e-09
3103.0,6.4061383949333036e-09
3104.0,6.4125563999521e-09
3105.0,6.419074686299315e-09
3106.0,6.439030670654634e-09
3107.0,6.445950082315527e-09
3108.0,6.452334660224846e-09
3109.0,6.458819519462588e-09
3110.0,6.4714215397338706e-09
3111.0,6.477806117643194e-09
3112.0,6.484224122661993e-09
3113.0,6.495689621211194e-09
3114.0,6.50210762622999e-09
3115.0,6.508726193905623e-09
3116.0,6.533930234448187e-09
3117.0,6.540415093685931e-09
3118.0,6.547000234252091e-09
3119.0,6.553451666380359e-09
3120.0,6.559969952727574e-09
3121.0,6.56695621860741e-09
3122.0,6.5739090573777726e-09
3123.0,6.581296448571282e-09
3124.0,6.590321768128964e-09
3125.0,6.59684005447618e-09
3126.0,6.603458622151813e-09
3127.0,6.610979721783215e-09
3128.0,6.618133123210415e-09
3129.0,6.624684836667103e-09
3130.0,6.641197828746714e-09
3131.0,6.650691127837017e-09
3132.0,6.660719260678885e-09
3133.0,6.673722406263838e-09
3134.0,6.6884303344319165e-09
3135.0,6.697656216646436e-09
3136.0,6.7043082114315424e-09
3137.0,6.7142694900544655e-09
3138.0,6.72981309595936e-09
3139.0,6.736765934729726e-09
3140.0,6.755886241348222e-09
3141.0,6.762671944571221e-09
3142.0,6.769323939356327e-09
3143.0,6.777045601644562e-09
3144.0,6.784533274166495e-09
3145.0,6.791218696061075e-09
3146.0,6.797870690846181e-09
3147.0,6.805759488681785e-09
3148.0,6.812478337685834e-09
3149.0,6.822506470527705e-09
3150.0,6.829225319531758e-09
