date,pwv,pwv_err
1262304900.0,0.84,0.082
1262306700.0,0.822,0.082
1262308500.0,0.754,0.106
1262310300.0,0.488,0.07
1262312100.0,0.757,0.106
1262313900.0,0.788,0.106
1262315700.0,0.785,0.106
1262317500.0,0.688,0.106
1262319300.0,0.657,0.106
1262321100.0,0.816,0.136
1262322900.0,0.823,0.136
1262324700.0,0.667,0.136
1262326500.0,0.426,0.082
1262328300.0,0.314,0.082
1262330100.0,0.36,0.136
1262331900.0,0.505,0.082
1262333700.0,0.636,0.07
1262335500.0,0.474,0.106
1262337300.0,0.509,0.106
1262339100.0,0.452,0.07
1262340900.0,0.447,0.07
1262342700.0,0.53,0.07
1262344500.0,0.714,0.082
1262346300.0,0.767,0.082
1262348100.0,0.67,0.082
1262349900.0,0.562,0.082
1262351700.0,0.682,0.07
1262353500.0,0.695,0.07
1262355300.0,0.498,0.07
1262357100.0,0.645,0.082
1262358900.0,0.587,0.082
1262360700.0,0.612,0.136
1262362500.0,0.564,0.082
1262364300.0,0.624,0.07
1262366100.0,0.541,0.07
1262367900.0,0.562,0.082
1262369700.0,0.646,0.136
1262371500.0,0.55,0.136
1262373300.0,0.663,0.082
1262375100.0,0.771,0.082
1262376900.0,0.758,0.082
1262378700.0,0.702,0.07
1262380500.0,0.739,0.07
1262382300.0,0.997,0.082
1262384100.0,1.202,0.071
1262385900.0,1.094,0.071
1262387700.0,1.195,0.071
1262389500.0,1.301,0.082
1262391300.0,1.581,0.082
1262393100.0,1.625,0.082
1262394900.0,1.455,0.082
1262396700.0,1.646,0.082
1262398500.0,1.844,0.082
1262400300.0,1.862,0.082
1262402100.0,2.041,0.083
1262403900.0,2.214,0.083
1262405700.0,2.223,0.083
1262407500.0,2.327,0.083
1262409300.0,2.368,0.083
1262411100.0,2.327,0.105
1262412900.0,2.439,0.083
1262414700.0,2.508,0.083
1262416500.0,2.437,0.083
1262418300.0,2.474,0.105
1262420100.0,2.462,0.083
1262421900.0,2.384,0.083
1262423700.0,2.421,0.083
1262425500.0,2.423,0.083
1262427300.0,2.485,0.083
1262429100.0,2.502,0.083
1262430900.0,2.511,0.083
1262432700.0,2.554,0.083
1262434500.0,2.545,0.083
1262436300.0,2.545,0.083
1262438100.0,2.711,0.083
1262439900.0,2.803,0.083
1262441700.0,2.607,0.083
1262443500.0,2.773,0.083
1262445300.0,2.72,0.083
1262447100.0,2.789,0.083
1262448900.0,2.98,0.083
1262450700.0,2.962,0.083
1262452500.0,2.969,0.083
1262454300.0,2.909,0.083
1262456100.0,2.559,0.083
1262457900.0,2.598,0.105
1262459700.0,2.442,0.083
1262461500.0,2.423,0.083
1262463300.0,2.384,0.083
1262465100.0,2.177,0.083
1262466900.0,2.06,0.083
1262468700.0,2.007,0.083
1262470500.0,1.984,0.083
1262472300.0,1.897,0.082
1262474100.0,1.689,0.082
1262475900.0,1.577,0.082
1262477700.0,1.632,0.082
1262479500.0,1.542,0.071
1262481300.0,1.204,0.071
1262483100.0,1.25,0.071
1262484900.0,1.448,0.071
1262486700.0,1.321,0.071
1262488500.0,1.19,0.071
1262490300.0,1.144,0.071
1262492100.0,1.121,0.071
1262493900.0,1.188,0.082
1262495700.0,0.912,0.082
1262497500.0,0.737,0.082
1262499300.0,0.714,0.07
1262501100.0,0.718,0.082
1262502900.0,0.7,0.082
1262504700.0,0.548,0.082
1262506500.0,0.401,0.07
1262508300.0,0.295,0.07
1262510100.0,0.376,0.07
1262511900.0,0.288,0.07
1262513700.0,0.224,0.07
1262515500.0,0.279,0.07
1262517300.0,0.424,0.082
1262519100.0,0.392,0.082
1262520900.0,0.141,0.082
1262522700.0,0.032,0.136
1262524500.0,0.178,0.07
1262526300.0,0.198,0.133
1262528100.0,0.032,0.106
1262529900.0,0.268,0.082
1262531700.0,0.201,0.082
1262533500.0,0.206,0.133
1262535300.0,0.302,0.07
1262537100.0,0.472,0.07
1262538900.0,0.732,0.07
1262540700.0,0.937,0.082
1262542500.0,1.176,0.134
1262544300.0,0.884,0.082
1262546100.0,1.409,0.082
1262547900.0,1.519,0.082
1262549700.0,1.478,0.071
1262551500.0,1.54,0.071
1262553300.0,1.478,0.071
1262555100.0,1.616,0.082
1262556900.0,1.657,0.071
1262558700.0,1.63,0.071
1262560500.0,1.641,0.071
1262562300.0,1.655,0.071
1262564100.0,1.83,0.082
1262565900.0,1.788,0.071
1262567700.0,1.549,0.071
1262569500.0,1.531,0.071
1262571300.0,1.733,0.071
1262573100.0,1.754,0.071
1262574900.0,1.662,0.071
1262576700.0,1.643,0.071
1262578500.0,1.772,0.082
1262580300.0,1.876,0.082
1262582100.0,1.876,0.082
1262583900.0,1.938,0.083
1262585700.0,1.917,0.071
1262587500.0,1.853,0.082
1262589300.0,1.85,0.082
1262591100.0,2.021,0.071
1262592900.0,1.873,0.071
1262594700.0,1.708,0.071
1262596500.0,1.807,0.082
1262598300.0,1.823,0.071
1262600100.0,1.809,0.071
1262601900.0,1.742,0.082
1262603700.0,1.758,0.082
1262605500.0,1.791,0.082
1262607300.0,1.581,0.082
1262609100.0,1.452,0.082
1262610900.0,1.512,0.071
1262612700.0,1.413,0.071
1262614500.0,1.261,0.082
1262616300.0,1.358,0.082
1262618100.0,1.213,0.082
1262619900.0,1.121,0.082
1262621700.0,1.155,0.071
1262623500.0,1.202,0.071
1262625300.0,1.349,0.071
1262627100.0,1.376,0.082
1262628900.0,1.11,0.082
1262630700.0,1.061,0.082
1262632500.0,1.234,0.082
1262634300.0,1.133,0.082
1262636100.0,1.153,0.071
1262637900.0,1.149,0.071
1262639700.0,1.001,0.07
1262641500.0,0.852,0.07
1262643300.0,0.732,0.07
1262645100.0,0.755,0.07
1262646900.0,0.863,0.07
1262648700.0,0.827,0.082
1262650500.0,0.829,0.082
1262652300.0,0.87,0.07
1262654100.0,0.808,0.07
1262655900.0,0.774,0.07
1262657700.0,0.967,0.07
1262659500.0,0.873,0.07
1262661300.0,0.808,0.07
1262663100.0,0.893,0.07
1262664900.0,0.974,0.082
1262666700.0,1.307,0.124
1262668500.0,1.178,0.124
1262670300.0,0.767,0.07
1262672100.0,0.787,0.07
1262673900.0,0.801,0.082
1262675700.0,0.716,0.082
1262677500.0,0.967,0.07
1262679300.0,0.909,0.07
1262681100.0,0.804,0.07
1262682900.0,0.928,0.07
1262684700.0,0.93,0.07
1262686500.0,0.935,0.07
1262688300.0,1.08,0.082
1262690100.0,1.1,0.082
1262691900.0,1.128,0.082
1262693700.0,1.004,0.082
1262695500.0,0.893,0.082
1262697300.0,0.866,0.07
1262699100.0,0.642,0.07
1262700900.0,0.599,0.07
1262702700.0,0.714,0.082
1262704500.0,0.505,0.082
1262706300.0,0.332,0.082
1262708100.0,0.353,0.133
1262709900.0,0.416,0.133
1262711700.0,0.695,0.133
1262713500.0,0.403,0.082
1262715300.0,0.447,0.133
1262717100.0,0.757,0.133
