date,KITT,P014,SA46,SA48,AZAM
1262304900.0,,3.6,4.2,4.7,
1262306700.0,,3.7,4.0,4.7,
1262308440.0,,3.7,3.4,3.6,
1262310300.0,,3.6,3.6,3.6,
1262312100.0,,3.8,3.3,3.5,
1262313840.0,,3.8,3.2,3.6,
1262315700.0,,3.7,3.3,3.7,
1262317500.0,,3.6,3.0,3.5,
1262319240.0,,3.6,2.9,3.4,
1262321100.0,,3.7,3.4,3.8,
1262322900.0,,3.9,3.3,3.6,
1262324640.0,,3.9,3.5,3.1,
1262326500.0,,3.6,3.7,3.2,
1262328300.0,,3.2,3.6,3.2,
1262330040.0,,3.1,3.5,3.0,
1262331900.0,,3.4,3.9,3.6,
1262333700.0,,3.7,4.0,3.8,
1262335440.0,,3.7,3.4,2.7,
1262337300.0,,3.8,3.5,2.7,
1262339100.0,,3.8,3.8,3.0,
1262340840.0,,3.6,3.9,3.1,
1262342700.0,,3.6,3.9,3.5,
1262344500.0,,3.5,4.3,4.1,
1262346240.0,,4.0,4.1,4.0,
1262348100.0,,4.3,3.8,3.5,
1262349900.0,,4.1,3.7,3.3,
1262351640.0,,3.9,4.0,3.8,
1262353500.0,,3.6,4.3,3.9,
1262355300.0,,3.1,3.8,4.0,
1262357040.0,,3.2,4.0,4.4,
1262358900.0,,3.4,3.8,4.1,
1262360700.0,,3.2,3.3,3.7,
1262362440.0,,3.3,3.8,4.1,
1262364300.0,,3.2,3.9,4.4,
1262366100.0,,3.2,3.8,4.1,
1262367840.0,,3.2,3.8,4.2,
1262369700.0,,3.3,3.3,3.7,
1262371500.0,,3.2,3.4,3.5,
1262373240.0,,3.1,4.3,4.3,
1262375100.0,,3.3,4.4,4.5,
1262376900.0,,3.6,4.0,4.5,
1262378640.0,,3.9,3.9,4.0,
1262380500.0,,3.7,4.2,4.1,
1262382300.0,,4.1,4.6,4.5,
1262384040.0,,4.9,4.4,4.8,
1262385900.0,,4.7,4.2,4.7,
1262387700.0,,4.6,4.7,4.8,
1262389440.0,,4.7,5.0,4.9,
1262391300.0,,5.2,5.3,5.4,
1262393100.0,,5.3,5.4,5.4,
1262394840.0,,5.1,5.4,4.8,
1262396700.0,,5.3,5.8,5.1,
1262398500.0,,5.8,6.1,5.2,
1262400240.0,,5.7,6.2,5.3,
1262402100.0,,6.3,6.2,5.5,
1262403900.0,,6.6,6.5,5.7,
1262405640.0,,6.1,6.8,6.0,
1262407500.0,,6.1,6.7,6.6,
1262409300.0,,6.1,6.7,6.8,
1262411040.0,,6.1,6.8,6.5,
1262412900.0,,6.5,6.9,6.5,
1262414700.0,,6.8,6.8,6.6,
1262416440.0,,6.4,6.9,6.6,
1262418300.0,,6.2,7.1,6.8,
1262420100.0,,6.6,6.7,6.7,
1262421840.0,,6.8,6.7,6.1,
1262423700.0,,6.6,6.9,6.3,
1262425500.0,,6.7,6.9,6.2,
1262427240.0,,6.7,7.1,6.3,
1262429100.0,,6.5,7.0,6.7,
1262430900.0,,6.0,7.1,7.2,
1262432640.0,,6.1,7.2,7.2,
1262434500.0,,6.6,7.1,6.7,
1262436300.0,,6.6,7.3,6.5,
1262438040.0,,6.6,7.7,6.9,
1262439900.0,,7.0,7.8,6.8,
1262441700.0,,6.6,7.6,6.5,
1262443440.0,,6.6,7.7,7.2,
1262445300.0,,7.0,7.2,7.0,
1262447100.0,,7.3,7.2,7.0,
1262448840.0,,6.6,8.0,7.9,
1262450700.0,,6.7,8.0,7.7,
1262452500.0,,7.0,8.0,7.4,
1262454240.0,,7.1,7.8,7.2,
1262456100.0,,7.2,6.8,6.4,
1262457900.0,,7.1,7.0,6.5,
1262459640.0,,5.7,7.5,6.8,
1262461500.0,,5.8,7.3,6.8,
1262463300.0,,5.9,7.1,6.7,
1262465040.0,,5.9,6.6,6.2,
1262466900.0,,6.2,6.2,5.7,
1262468700.0,,6.6,5.9,5.3,
1262470440.0,,6.5,5.7,5.5,
1262472300.0,,6.3,5.6,5.4,
1262474100.0,,5.4,5.6,5.4,
1262475840.0,,5.0,5.6,5.3,
1262477700.0,,4.7,5.7,5.8,
1262479500.0,,4.4,5.7,5.7,
1262481240.0,,4.1,5.3,4.8,
1262483100.0,,4.3,5.3,4.8,
1262484900.0,,4.8,5.5,5.0,
1262486640.0,,4.7,5.1,4.9,
1262488500.0,,4.4,4.9,4.8,
1262490300.0,,4.2,5.0,4.7,
1262492040.0,,4.1,5.0,4.7,
1262493900.0,,4.3,4.9,4.9,
1262495700.0,,4.0,4.5,4.3,
1262497440.0,,3.6,4.5,3.9,
1262499300.0,,3.5,4.4,4.0,
1262501100.0,,3.7,4.1,4.1,
1262502840.0,,3.8,4.1,3.9,
1262504700.0,,3.5,3.9,3.7,
1262506500.0,,3.4,3.7,3.3,
1262508240.0,,3.3,3.9,2.7,
1262510100.0,,3.2,4.2,2.9,
1262511900.0,,3.0,4.1,2.8,
1262513640.0,,2.9,4.0,2.7,
1262515500.0,,2.6,4.1,3.2,
1262517300.0,,2.6,4.5,3.5,
1262519040.0,,3.0,4.2,3.2,
1262520900.0,,2.9,3.7,2.6,
1262522700.0,,2.6,3.5,2.5,
1262524440.0,,2.7,3.8,2.9,
1262526300.0,,2.3,3.7,2.9,
1262528100.0,,2.6,3.3,2.5,
1262529840.0,,3.0,3.9,2.9,
1262531700.0,,2.8,4.0,2.7,
1262533500.0,,2.7,4.1,2.4,
1262535240.0,,2.7,4.7,2.6,
1262537100.0,,2.9,5.2,2.7,
1262538900.0,,3.4,5.8,2.8,
1262540640.0,,4.2,5.6,3.1,
1262542500.0,,4.7,5.0,2.4,
1262544300.0,,4.6,5.3,2.7,
1262546040.0,,4.9,6.0,4.2,
1262547900.0,,5.2,5.8,4.6,
1262549700.0,,5.2,5.7,4.5,
1262551440.0,,5.2,6.0,4.5,
1262553300.0,,5.2,5.8,4.4,
1262555100.0,,5.8,5.5,4.7,
1262556840.0,,5.8,5.2,5.2,
1262558700.0,,5.5,5.1,5.5,
1262560500.0,,5.1,5.2,5.9,
1262562240.0,,4.8,5.5,6.0,
1262564100.0,,5.2,5.7,6.2,
1262565900.0,,5.2,5.8,5.9,
1262567640.0,,4.7,5.7,5.4,
1262569500.0,,4.8,5.6,5.3,
1262571300.0,,5.5,5.8,5.3,
1262573040.0,,5.5,5.9,5.3,
1262574900.0,,5.1,5.8,5.4,
1262576700.0,,5.2,5.9,5.1,
1262578440.0,,5.4,6.1,5.3,
1262580300.0,,5.4,6.0,5.9,
1262582100.0,,5.4,6.1,5.8,
1262583840.0,,5.4,6.5,5.7,
1262585700.0,,5.4,6.5,5.6,
1262587500.0,,5.3,6.4,5.5,
1262589240.0,,5.2,6.5,5.5,
1262591100.0,,5.4,6.5,6.1,
1262592900.0,,5.3,6.1,5.9,
1262594640.0,,5.3,6.0,5.2,
1262596500.0,,5.1,6.3,5.6,
1262598300.0,,4.9,6.4,5.8,
1262600040.0,,5.2,6.3,5.5,
