date,pwv,pwv_err
1262304900.0,1.528,1.346
1262306700.0,1.509,1.346
1262308500.0,1.155,1.346
1262310300.0,1.174,1.346
1262312100.0,1.137,1.346
1262313900.0,1.137,1.346
1262315700.0,1.155,1.346
1262317500.0,1.027,1.346
1262319300.0,0.985,1.346
1262321100.0,1.197,1.346
1262322900.0,1.181,1.346
1262324700.0,1.12,1.346
1262326500.0,1.112,1.346
1262328300.0,0.997,1.346
1262330100.0,0.911,1.346
1262331900.0,1.19,1.346
1262333700.0,1.323,1.346
1262335500.0,0.969,1.346
1262337300.0,1.013,1.346
1262339100.0,1.139,1.346
1262340900.0,1.134,1.346
1262342700.0,1.216,1.346
1262344500.0,1.401,1.346
1262346300.0,1.456,1.346
1262348100.0,1.359,1.346
1262349900.0,1.25,1.346
1262351700.0,1.37,1.346
1262353500.0,1.383,1.346
1262355300.0,1.182,1.346
1262357100.0,1.33,1.346
1262358900.0,1.273,1.346
1262360700.0,1.038,1.346
1262362500.0,1.249,1.346
1262364300.0,1.309,1.346
1262366100.0,1.226,1.346
1262367900.0,1.246,1.346
1262369700.0,1.061,1.346
1262371500.0,1.017,1.346
1262373300.0,1.349,1.346
1262375100.0,1.458,1.346
1262376900.0,1.444,1.346
1262378700.0,1.39,1.346
1262380500.0,1.427,1.346
1262382300.0,1.688,1.346
1262384100.0,1.895,1.346
1262385900.0,1.786,1.346
1262387700.0,1.888,1.346
1262389500.0,1.995,1.346
1262391300.0,2.279,1.346
1262393100.0,2.324,1.346
1262394900.0,2.153,1.346
1262396700.0,2.346,1.346
1262398500.0,2.547,1.346
1262400300.0,2.565,1.346
1262402100.0,2.747,1.346
1262403900.0,2.922,1.346
1262405700.0,2.93,1.346
1262407500.0,3.033,1.346
1262409300.0,3.075,1.346
1262411100.0,3.033,1.346
1262412900.0,3.148,1.346
1262414700.0,3.218,1.346
1262416500.0,3.146,1.346
1262418300.0,3.182,1.346
1262420100.0,3.171,1.346
1262421900.0,3.094,1.346
1262423700.0,3.13,1.346
1262425500.0,3.133,1.346
1262427300.0,3.196,1.346
1262429100.0,3.211,1.346
1262430900.0,3.218,1.346
1262432700.0,3.263,1.346
1262434500.0,3.255,1.346
1262436300.0,3.256,1.346
1262438100.0,3.423,1.346
1262439900.0,3.517,1.346
1262441700.0,3.319,1.346
1262443500.0,3.485,1.346
1262445300.0,3.432,1.346
1262447100.0,3.502,1.346
1262448900.0,3.693,1.346
1262450700.0,3.675,1.346
1262452500.0,3.683,1.346
1262454300.0,3.623,1.346
1262456100.0,3.271,1.346
1262457900.0,3.31,1.346
1262459700.0,3.149,1.346
1262461500.0,3.13,1.346
1262463300.0,3.091,1.346
1262465100.0,2.882,1.346
1262466900.0,2.765,1.346
1262468700.0,2.713,1.346
1262470500.0,2.689,1.346
1262472300.0,2.6,1.346
1262474100.0,2.389,1.346
1262475900.0,2.275,1.346
1262477700.0,2.329,1.346
1262479500.0,2.238,1.346
1262481300.0,1.897,1.346
1262483100.0,1.944,1.346
1262484900.0,2.145,1.346
1262486700.0,2.016,1.346
1262488500.0,1.883,1.346
1262490300.0,1.837,1.346
1262492100.0,1.813,1.346
1262493900.0,1.881,1.346
1262495700.0,1.602,1.346
1262497500.0,1.425,1.346
1262499300.0,1.402,1.346
1262501100.0,1.406,1.346
1262502900.0,1.388,1.346
1262504700.0,1.234,1.346
1262506500.0,1.086,1.346
1262508300.0,0.98,1.346
1262510100.0,1.061,1.346
1262511900.0,0.973,1.346
1262513700.0,0.908,1.346
1262515500.0,0.962,1.346
1262517300.0,1.108,1.346
1262519100.0,1.077,1.346
1262520900.0,0.824,1.346
1262522700.0,0.691,1.346
1262524500.0,0.86,1.346
1262526300.0,0.745,1.346
1262528100.0,0.649,1.346
1262529900.0,0.951,1.346
1262531700.0,0.884,1.346
1262533500.0,1.231,1.697
1262535300.0,0.987,1.346
1262537100.0,1.16,1.346
1262538900.0,1.424,1.346
1262540700.0,1.632,1.346
1262542500.0,2.219,1.697
1262544300.0,1.58,1.346
1262546100.0,2.108,1.346
1262547900.0,2.219,1.346
1262549700.0,2.177,1.346
1262551500.0,2.24,1.346
1262553300.0,2.177,1.346
1262555100.0,2.317,1.346
1262556900.0,2.357,1.346
1262558700.0,2.328,1.346
1262560500.0,2.338,1.346
1262562300.0,2.352,1.346
1262564100.0,2.529,1.346
1262565900.0,2.488,1.346
1262567700.0,2.246,1.346
1262569500.0,2.228,1.346
1262571300.0,2.434,1.346
1262573100.0,2.455,1.346
1262574900.0,2.361,1.346
1262576700.0,2.343,1.346
1262578500.0,2.474,1.346
1262580300.0,2.577,1.346
1262582100.0,2.577,1.346
1262583900.0,2.641,1.346
1262585700.0,2.62,1.346
1262587500.0,2.555,1.346
1262589300.0,2.552,1.346
1262591100.0,2.723,1.346
1262592900.0,2.574,1.346
1262594700.0,2.409,1.346
1262596500.0,2.508,1.346
1262598300.0,2.523,1.346
1262600100.0,2.51,1.346
1262601900.0,2.442,1.346
1262603700.0,2.458,1.346
1262605500.0,2.491,1.346
1262607300.0,2.281,1.346
1262609100.0,2.15,1.346
1262610900.0,2.21,1.346
1262612700.0,2.109,1.346
1262614500.0,1.956,1.346
1262616300.0,2.054,1.346
1262618100.0,1.908,1.346
1262619900.0,1.814,1.346
1262621700.0,1.848,1.346
1262623500.0,1.894,1.346
1262625300.0,2.043,1.346
1262627100.0,2.072,1.346
1262628900.0,1.803,1.346
1262630700.0,1.755,1.346
1262632500.0,1.929,1.346
1262634300.0,1.827,1.346
1262636100.0,1.848,1.346
1262637900.0,1.843,1.346
1262639700.0,1.694,1.346
1262641500.0,1.542,1.346
1262643300.0,1.42,1.346
1262645100.0,1.443,1.346
1262646900.0,1.553,1.346
1262648700.0,1.516,1.346
1262650500.0,1.518,1.346
1262652300.0,1.56,1.346
1262654100.0,1.498,1.346
1262655900.0,1.464,1.346
1262657700.0,1.66,1.346
1262659500.0,1.564,1.346
1262661300.0,1.498,1.346
1262663100.0,1.584,1.346
1262664900.0,1.665,1.346
1262666700.0,1.999,1.346
1262668500.0,1.869,1.346
1262670300.0,1.454,1.346
1262672100.0,1.475,1.346
1262673900.0,1.491,1.346
1262675700.0,1.404,1.346
1262677500.0,1.657,1.346
1262679300.0,1.6,1.346
1262681100.0,1.494,1.346
1262682900.0,1.62,1.346
1262684700.0,1.622,1.346
1262686500.0,1.627,1.346
1262688300.0,1.773,1.346
1262690100.0,1.793,1.346
1262691900.0,1.822,1.346
1262693700.0,1.698,1.346
1262695500.0,1.586,1.346
1262697300.0,1.557,1.346
1262699100.0,1.331,1.346
1262700900.0,1.286,1.346
1262702700.0,1.403,1.346
1262704500.0,1.192,1.346
1262706300.0,1.016,1.346
1262708100.0,0.897,1.346
1262709900.0,0.938,1.346
1262711700.0,1.126,1.346
1262713500.0,1.086,1.346
1262715300.0,0.912,1.346
1262717100.0,1.05,1.346
1262718900.0,1.431,1.346
1262720700.0,1.532,1.346
1262722500.0,1.582,1.346
1262724300.0,1.561,1.346
1262726100.0,1.572,1.346
1262727900.0,1.634,1.346
1262729700.0,1.692,1.346
1262731500.0,1.669,1.346
1262733300.0,1.559,1.346
1262735100.0,1.459,1.346
1262736900.0,1.508,1.346
1262738700.0,1.504,1.346
1262740500.0,1.46,1.346
1262742300.0,1.379,1.346
1262744100.0,1.423,1.346
1262745900.0,1.416,1.346
1262747700.0,1.215,1.346
1262749500.0,1.127,1.346
1262751300.0,1.312,1.346
1262753100.0,1.252,1.346
1262754900.0,1.062,1.346
1262756700.0,1.247,1.346
1262758500.0,1.421,1.346
1262760300.0,1.343,1.346
1262762100.0,1.171,1.346
1262763900.0,1.213,1.346
1262765700.0,1.067,1.346
1262767500.0,1.404,1.697
1262769300.0,1.365,1.697
1262771100.0,0.883,1.346
1262772900.0,0.861,1.346
1262774700.0,0.858,1.346
1262776500.0,0.967,1.346
1262778300.0,0.996,1.346
1262780100.0,0.889,1.346
1262781900.0,0.802,1.346
1262783700.0,0.956,1.346
1262785500.0,0.87,1.346
1262787300.0,0.865,1.346
1262789100.0,0.915,1.346
1262790900.0,0.805,1.346
1262792700.0,0.993,1.346
1262794500.0,1.037,1.346
1262796300.0,0.993,1.346
1262798100.0,1.178,1.346
1262799900.0,1.227,1.346
1262801700.0,1.105,1.346
1262803500.0,1.157,1.346
1262805300.0,1.493,1.346
1262807100.0,1.743,1.346
1262808900.0,1.699,1.346
1262810700.0,1.522,1.346
1262812500.0,1.436,1.346
1262814300.0,1.536,1.346
1262816100.0,1.576,1.346
1262817900.0,1.725,1.346
1262819700.0,1.769,1.346
1262821500.0,1.777,1.346
1262823300.0,1.89,1.346
1262825100.0,1.978,1.346
1262826900.0,2.106,1.346
1262828700.0,2.237,1.346
1262830500.0,2.445,1.346
1262832300.0,2.394,1.346
1262834100.0,2.271,1.346
1262835900.0,2.209,1.346
1262837700.0,2.337,1.346
1262839500.0,2.399,1.346
1262841300.0,2.443,1.346
